City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Iquitos,PE,2022-01-23 22:28:14,-3.7481,-73.2472,77.04,94,75,3.44
200,Butaritari,KI,2022-01-23 22:28:15,3.0707,172.7902,81.91,80,98,18.1
201,Norman Wells,CA,2022-01-23 22:28:15,65.282,-126.8329,3.24,78,100,11.5
202,Saint-Louis,SN,2022-01-23 22:28:16,16.3333,-15.0,80.24,9,87,10.76
203,Avarua,CK,2022-01-23 22:28:16,-21.2078,-159.775,80.65,94,100,13.8
204,Aklavik,CA,2022-01-23 22:28:17,68.2191,-135.0107,2.23,98,96,4.88
205,Epe,NG,2022-01-23 22:28:17,6.5841,3.9834,74.93,88,3,4.45
206,Ercis,TR,2022-01-23 22:28:17,39.0287,43.3586,29.8,75,49,4.9
207,Pemba,MZ,2022-01-23 22:28:18,-12.974,40.5178,77.7,94,100,5.75
208,Dwarka,IN,2022-01-23 22:28:18,22.2394,68.9678,63.18,38,6,7.29
209,Alexandria,EG,2022-01-23 22:27:01,31.2156,29.9553,52.83,70,100,20.0
210,Kenai,US,2022-01-23 22:24:11,60.5544,-151.2583,33.85,94,100,6.91
211,Verkhoyansk,RU,2022-01-23 22:28:19,67.5447,133.385,-16.24,98,100,1.95
212,Raga,SS,2022-01-23 22:28:19,8.4596,25.678,72.14,25,5,5.23
213,Bogorodskoye,RU,2022-01-23 22:28:20,56.55,37.8833,0.79,100,96,2.44
214,Barabai,ID,2022-01-23 22:28:20,-2.5833,115.3833,73.56,96,96,1.5
215,Namibe,AO,2022-01-23 22:28:21,-15.1961,12.1522,74.97,86,92,7.94
216,Black Diamond,US,2022-01-23 22:28:21,47.3087,-122.0032,50.94,50,36,1.66
217,Iralaya,HN,2022-01-23 22:28:21,15.0,-83.2333,80.69,76,2,11.16
218,Baijiantan,CN,2022-01-23 22:28:22,45.6333,85.1833,10.81,96,100,2.1
219,Karratha,AU,2022-01-23 22:28:22,-20.7377,116.8463,81.46,78,69,9.24
220,Pisco,PE,2022-01-23 22:28:23,-13.7,-76.2167,77.05,65,0,19.57
221,Vila Velha,BR,2022-01-23 22:26:20,-20.3297,-40.2925,80.55,82,40,1.99
222,Saldanha,ZA,2022-01-23 22:28:23,-33.0117,17.9442,68.05,97,57,18.14
223,Tanout,NE,2022-01-23 22:28:24,14.9709,8.8879,59.5,19,13,12.64
224,Ribeira Grande,PT,2022-01-23 22:28:24,38.5167,-28.7,60.08,64,16,9.19
225,Pochutla,MX,2022-01-23 22:28:24,15.7432,-96.4661,89.82,48,1,7.85
226,San Ramon De La Nueva Oran,AR,2022-01-23 22:28:25,-23.1322,-64.326,89.2,56,53,3.36
227,Beihai,CN,2022-01-23 22:28:25,21.4833,109.1,67.3,94,98,9.57
228,Walvis Bay,NA,2022-01-23 22:29:26,-22.9575,14.5053,86.95,42,65,10.36
229,Sovetskiy,RU,2022-01-23 22:29:26,61.3614,63.5842,-1.12,99,89,3.06
230,Fortuna,US,2022-01-23 22:29:27,40.5982,-124.1573,70.93,51,0,1.01
231,San Jeronimo,PE,2022-01-23 22:29:27,-11.9472,-75.2829,60.01,61,63,3.58
232,Hovd,MN,2022-01-23 22:29:28,48.0056,91.6419,-3.44,73,6,5.82
233,Konosha,RU,2022-01-23 22:29:28,60.9736,40.257,11.35,91,99,9.35
234,Tabou,CI,2022-01-23 22:29:29,4.423,-7.3528,78.85,84,0,7.47
235,Lichinga,MZ,2022-01-23 22:29:16,-13.3128,35.2406,60.21,99,100,5.32
236,Ialibu,PG,2022-01-23 22:29:29,-6.2821,143.9935,60.33,91,100,1.45
237,Omboue,GA,2022-01-23 22:29:30,-1.5746,9.2618,76.84,86,53,5.97
238,Boundiali,CI,2022-01-23 22:29:30,9.5217,-6.4869,74.39,14,1,4.52
239,Santa Cruz,BO,2022-01-23 22:26:56,-17.8,-63.1667,84.25,61,20,17.27
240,Inhambane,MZ,2022-01-23 22:29:31,-23.865,35.3833,76.77,87,98,18.07
241,Ust-Tsilma,RU,2022-01-23 22:29:31,65.441,52.1498,10.2,91,96,9.01
242,Luwuk,ID,2022-01-23 22:29:32,-0.9516,122.7875,77.47,77,57,3.53
243,Cockburn Town,TC,2022-01-23 22:29:32,21.4612,-71.1419,78.1,75,0,10.92
244,Carnarvon,AU,2022-01-23 22:29:32,-24.8667,113.6333,78.87,65,7,19.57
245,Batagay,RU,2022-01-23 22:29:33,67.6333,134.6333,-20.54,98,100,3.13
246,East London,ZA,2022-01-23 22:29:33,-33.0153,27.9116,73.24,76,0,21.18
247,Sampit,ID,2022-01-23 22:29:34,-2.5333,112.95,73.69,96,87,2.68
248,Wilmington,US,2022-01-23 22:25:58,34.2257,-77.9447,44.01,68,0,5.55
249,Marawi,PH,2022-01-23 22:29:34,7.9986,124.2928,68.65,98,100,2.68
250,San Andres,CO,2022-01-23 22:29:35,12.5847,-81.7006,80.62,78,40,14.97
251,Labuhan,ID,2022-01-23 22:29:35,-6.8844,112.2051,77.68,88,91,11.14
252,Southbridge,US,2022-01-23 22:29:36,42.0751,-72.0334,31.32,50,96,5.23
253,Zhigansk,RU,2022-01-23 22:29:36,66.7697,123.3711,-7.08,98,100,11.88
254,Riyadh,SA,2022-01-23 22:28:42,24.6877,46.7219,51.94,29,3,8.39
255,Dengfeng,CN,2022-01-23 22:29:37,34.4553,113.0281,29.03,94,94,2.08
256,Mananara,MG,2022-01-23 22:29:37,-16.1667,49.7667,74.93,96,100,3.65
257,Lavrentiya,RU,2022-01-23 22:29:38,65.5833,-171.0,4.66,97,100,6.49
258,Half Moon Bay,US,2022-01-23 22:29:38,37.4636,-122.4286,67.89,48,0,1.99
259,Centralia,US,2022-01-23 22:29:38,46.7162,-122.9543,58.3,93,100,5.75
260,Unai,BR,2022-01-23 22:29:39,-16.3575,-46.9061,76.95,71,97,0.78
261,Tiarei,PF,2022-01-23 22:29:39,-17.5333,-149.3333,86.02,78,67,13.27
262,Edd,ER,2022-01-23 22:29:40,13.9297,41.6925,79.18,73,3,12.91
263,Pacific Grove,US,2022-01-23 22:29:40,36.6177,-121.9166,69.58,38,0,1.01
264,Yumen,CN,2022-01-23 22:29:40,40.2833,97.2,17.51,55,4,2.21
265,Tautira,PF,2022-01-23 22:29:41,-17.7333,-149.15,86.02,79,78,15.28
266,Meulaboh,ID,2022-01-23 22:29:41,4.1363,96.1285,74.95,90,100,4.27
267,Longyan,CN,2022-01-23 22:29:42,25.1072,117.0225,56.5,96,36,3.31
268,Key Largo,US,2022-01-23 22:26:35,25.0865,-80.4473,60.98,71,77,15.41
269,Kargat,RU,2022-01-23 22:29:42,55.1956,80.2811,-15.54,100,51,3.6
270,Gorontalo,ID,2022-01-23 22:29:43,0.5412,123.0595,74.68,93,88,2.66
271,Cayenne,GF,2022-01-23 22:29:43,4.9333,-52.3333,77.09,88,0,3.0
272,Maceio,BR,2022-01-23 22:29:43,-9.6658,-35.7353,78.24,83,40,8.05
273,Chicama,PE,2022-01-23 22:29:44,-7.8447,-79.1469,68.54,65,44,10.47
